Sexe	age	Chaussures	sacados	feder	anios_pract	numer_3000	boussole/GPS	Radio/Tel	TrousSecours	id_proc	Origine	Destination
H	23	3	1	0		5	1	1	1	CT	Espagne	Aneto
H	23	3	1	1		1	1	1	1	CT	Espagne	Aneto
H	43	3	1	0	20	5	1	1	1	FRA	France	Aneto
H	43	3	1	0	20	10	1	0	1	FRA	France	Aneto
H	43	4	1	0	20	5	1	0	0	FRA	France	Aneto
M	43	4	0	0	20	5	1	0	0	FRA	France	Aneto
H	33	3	1	1	10	6	0	1	1	CT	Espagne	Aneto
H	68	3	1	1	45	50	0	0	0	FRA	France	Aneto
H	23	3	1	0	0	2	0	1	0	CT	Espagne	Aneto
H	63	4	1	1	40	200	0	1	0	FRA	France	Aneto
M	23	3	1	0	0	2	1	1	1	CZE	Autre pays	Aneto
M	23	3	1	0	0	2	1	1	1	CZE	Autre pays	Aneto
H	23	3	1	0	0	2	1	1	1	CZE	Autre pays	Aneto
H	33	3	1	1	10	30	1	1	0	CM	Espagne	Aneto
M	23	3	1	0	0	1	0	1	1	M	Espagne	Aneto
H	33	3	1	0	10	4	1	1	1	VC	Espagne	Aneto
H	33	3	1	0	10	4	1	1	1	VC	Espagne	Aneto
M	33	3	1	1	10	4	1	0	0	M	Espagne	Aneto
H	33	3	1	0	10	13	0	0	0	FRA	France	Aneto
H	43	3	1	0	20	3	0	1	0	M	Espagne	Aneto
H	38	4	1	1	15	10	1	1	0	NA	Espagne	Aneto
H	23	3	1	0	0	1	0	1	0	POL	Autre pays	Aneto
H	38	3	1	0	15	10	1	1	1	CT	Espagne	Aneto
H	38	3	1	0	15	10	1	1	1	CT	Espagne	Aneto
H	23	4	1	0	0	2	0	1	1	CT	Espagne	Aneto
H	33	4	1	1	10	50	0	1	1	VC	Espagne	Aneto
H	33	3	1	0	10	10	0	1	0	CT	Espagne	Aneto
H	43	3	1	1	20	15	0	1	1	CT	Espagne	Aneto
H	43	3	1	0	20	2	0	1	1	AR	Espagne	Aneto
H	43	3	1	0	20	2	0	1	1	AR	Espagne	Aneto
H	43	3	1	0	20	2	0	1	1	AR	Espagne	Aneto
H	53	5	1	1	30	31	0	1	0	FRA	France	Aneto
H	53	4	1	1	30	30	0	1	1	AR	Espagne	Aneto
H	53	4	1	1	30	30	0	1	1	AR	Espagne	Aneto
H	28	3	1	0	5	0	1	1	0	PV	Espagne	Aneto
H	28	3	1	0	5	0	1	1	0	PV	Espagne	Aneto
H	38	3	1	1	15	6	1	1	1	CT	Espagne	Aneto
H	43	3	1	0	20	10	0	1	0	NA	Espagne	Aneto
H	53	4	1	1	30	13	1	1	1	PV	Espagne	Aneto
