rang annuel;titre;nationalité;sortie;mois;entrées (millions);annee;Type;nouvelle nationalité;Intervalle d'entrées;Nationalité simplifiée;Saison de sortie
42;BOUDU;FRANCE;09/03/2005;3;1,20;2005;Comédie;FR;"[1;5[";FR;Hiver
43;DERNIER TRAPPEUR (LE);FRANCE / CANADA / ALLEMAGNE / ITALIE;15/12/2004;12;1,19;2005;Aventure;FR;"[1;5[";FR;Automne
44;VAILLANT PIGEON DE COMBAT;GRANDE BRETAGNE;30/03/2005;3;1,16;2005;Animation;GB;"[1;5[";GB;Hiver
45;ROBOTS;ETATS UNIS;06/04/2005;4;1,10;2005;Animation;US;"[1;5[";US;Printemps
46;DE BATTRE MON CŒUR S'EST ARRETE;FRANCE;16/03/2005;3;1,01;2005;Drame;FR;"[1;5[";FR;Hiver
1;BRONZÉS 3 (LES) - AMIS POUR LA VIE;FRANCE;01/02/2006;2;10,23;2006;Comédie;FR;"[10;15[";FR;Hiver
2;AGE DE GLACE 2 (L');ETATS UNIS;05/04/2006;4;6,62;2006;Animation;US;"[5;10[";US;Printemps
3;PIRATES DES CARAIBES, LE SECRET DU COFFRE MAUDIT;ETATS UNIS;02/08/2006;8;6,51;2006;Fantastique;US;"[5;10[";US;Été
4;CAMPING;FRANCE;26/04/2006;4;5,47;2006;Comédie;FR;"[5;10[";FR;Printemps
5;DA VINCI CODE;ETATS UNIS;17/05/2006;5;4,16;2006;Policier/Thriller;US;"[1;5[";US;Printemps
6;ARTHUR ET LES MINIMOYS (EX : ARTHUR);FRANCE;13/12/2006;12;4,12;2006;Aventure;FR;"[1;5[";FR;Automne
7;JE VOUS TROUVE TRES BEAU (EX: LA FILLE DE L'EST);FRANCE;11/01/2006;1;3,51;2006;Comédie dramatique;FR;"[1;5[";FR;Hiver
8;PRETE-MOI TA MAIN (EX : RENT A WIFE);FRANCE;01/11/2006;11;3,45;2006;Comédie romantique;FR;"[1;5[";FR;Automne
9;DOUBLURE (LA);FRANCE / ITALIE;29/03/2006;3;3,08;2006;Comédie;FR;"[1;5[";FR;Hiver
10;INDIGÈNES;FRANCE / BELGIQUE;27/09/2006;9;3,02;2006;Drame;FR;"[1;5[";FR;Été
11;CASINO ROYALE;GRANDE BRETAGNE;22/11/2006;11;2,84;2006;Action;GB;"[1;5[";GB;Automne
12;X-MEN L'AFFRONTEMENT FINAL;ETATS UNIS;24/05/2006;5;2,81;2006;Super-héros;US;"[1;5[";US;Printemps
13;NE LE DIS À PERSONNE;FRANCE;01/11/2006;11;2,73;2006;Policier/Thriller;FR;"[1;5[";FR;Automne
14;OSS 117 - LE CAIRE, NID D'ESPIONS;FRANCE;19/04/2006;4;2,30;2006;Comédie d'action / d'espionnage;FR;"[1;5[";FR;Printemps
15;VOLVER;ESPAGNE;19/05/2006;5;2,30;2006;Drame;ESP;"[1;5[";Autre;Printemps
16;MONDE DE NARNIA (LE) - CHAPITRE 1 - LE LION, LA SORCIERE BLANCHE ET L'ARMOIRE MAGIQUE;ETATS UNIS;21/12/2005;12;2,26;2006;Fantasy;US;"[1;5[";US;Automne
17;DIABLE S'HABILLE EN PRADA (LE);ETATS UNIS;27/09/2006;9;2,16;2006;Comédie dramatique;US;"[1;5[";US;Été
18;CARS QUATRE ROUES;ETATS UNIS;14/06/2006;6;2,02;2006;Animation;US;"[1;5[";US;Printemps
19;FAUTEUILS D'ORCHESTRE;FRANCE;15/02/2006;2;1,93;2006;Comédie dramatique;FR;"[1;5[";FR;Hiver
20;MISSION : IMPOSSIBLE 3;ETATS UNIS;03/05/2006;5;1,91;2006;Action;US;"[1;5[";US;Printemps
21;BAMBI 2;ETATS UNIS;01/02/2006;2;1,85;2006;Animation;US;"[1;5[";US;Hiver
22;AZUR ET ASMAR;FRANCE / BELGIQUE / ESPAGNE / ITALIE;25/10/2006;10;1,61;2006;Animation;FR;"[1;5[";FR;Automne
23;ERAGON;ETATS UNIS;20/12/2006;12;1,58;2006;Fantasy;US;"[1;5[";US;Automne
